LangID,CountryID,Name
bcq,ET,Bench
bcr,CA,Babine
bcs,NG,Kohumono
bct,CD,Bendi
bcu,PG,Awad Bing
bcv,NG,Shoo-Minda-Nye
bcw,CM,Bana
bcy,NG,Bacama
bcz,SN,Bainouk-Gunyaamolo
bda,SN,Bayot
bdb,ID,Basap
bdc,CO,Emberá-Baudó
bdd,PG,Bunama
bde,NG,Bade
bdf,PG,Biage
bdg,MY,Bonggi
bdh,SS,Baka
bdi,SD,Burun
bdj,SS,Bai
bdk,AZ,Budukh
bdl,ID,"Bajau, Indonesian"
bdm,TD,Buduma
bdn,CM,Baldemu
bdo,TD,Morom
bdp,TZ,Bende
bdq,VN,Bahnar
bdr,MY,"Bajau, West Coast"
bds,TZ,Burunge
bdt,CF,Bhogoto
bdu,CM,Oroko
bdv,IN,Bodo Parja
bdw,ID,Baham
bdx,ID,Budong-Budong
bdy,AU,Bandjalang
bdz,PK,Badeshi
bea,CA,Beaver
beb,CM,Bebele
bec,CM,Iceve-Maci
bed,ID,Bedoanas
bee,IN,Byangsi
bef,PG,Benabena
beg,BN,Belait
beh,BJ,Biali
bei,ID,Bakati’
bej,SD,Bedawiyet
bek,PG,Bebeli
bel,BY,Belarusan
bem,ZM,Bemba
ben,BD,Bengali
beo,PG,Beami
bep,ID,Behoa
beq,CG,Beembe
bes,TD,Besme
bet,CI,"Bété, Guiberoua"
beu,ID,Blagar
bev,CI,"Bété, Daloa"
bew,ID,Betawi
bex,SS,Jur Modo
bey,PG,Beli
bez,TZ,Bena
bfa,SS,Bari
bfb,IN,"Bareli, Pauri"
bfc,CN,"Bai, Panyi"
bfd,CM,Bafut
bfe,ID,Betaf
bff,CF,Bofi
bfg,ID,"Kayan, Busang"
bfh,PG,Blafe
bfi,GB,British Sign Language
bfj,CM,Bafanji
bfk,TH,Ban Khor Sign Language
bfl,CF,Banda-Ndélé
bfm,CM,Mmen
bfn,TL,Bunak
bfo,BF,"Birifor, Malba"
bfp,CM,Beba
bfq,IN,Badaga
bfr,IN,Bazigar
bfs,CN,"Bai, Southern"
bft,PK,Balti
bfu,IN,Gahri
bfw,IN,Bondo
bfx,PH,Bantayanon
bfy,IN,Bagheli
bfz,IN,"Pahari, Mahasu"
bga,NG,Gwamhi-Wuri
bgb,ID,Bobongko
bgc,IN,Haryanvi
bgd,IN,"Bareli, Rathwi"
bge,IN,Bauria
bgf,CM,Bangandu
bgg,IN,Bugun
bgi,PH,Giangan
bgj,CM,Bangolan
bgk,LA,Bit
bgl,LA,Bo
bgn,PK,"Balochi, Western"
bgo,GN,Baga Koga
bgp,PK,"Balochi, Eastern"
bgq,IN,Bagri
bgr,IN,"Chin, Bawm"
bgs,PH,Tagabawa
bgt,SB,Bughotu
bgu,NG,Mbongno
bgv,ID,Warkay-Bipim
bgw,IN,Bhatri
bgx,TR,Balkan Gagauz Turkish
bgy,ID,Benggoi
bgz,ID,Banggai
bha,IN,Bharia
bhb,IN,Bhili
bhc,ID,Biga
bhd,IN,Bhadrawahi
bhe,PK,Bhaya
bhf,PG,Odiai
bhg,PG,Binandere
bhh,IL,Bukharic
bhi,IN,Bhilali
bhj,NP,Bahing
bhl,PG,Bimin
bhm,OM,Bathari
bhn,GE,Bohtan Neo-Aramaic
bho,IN,Bhojpuri
bhp,ID,Bima
bhq,ID,Tukang Besi South
bhr,MG,"Malagasy, Bara"
bhs,CM,Buwal
bht,IN,Bhattiyali
bhu,IN,Bhunjia
bhv,ID,Bahau
bhw,ID,Biak
bhx,IN,Bhalay
bhy,CD,Bhele
bhz,ID,Bada
bia,AU,Badimaya
bib,BF,Bisa
bic,PG,Bikaru
bid,TD,Bidiyo
bie,PG,Bepour
bif,GW,Biafada
big,PG,Biangai
bij,NG,Vaghat-Ya-Bijim-Legeri
bil,NG,Bille
bim,GH,Bimoba
bin,NG,Edo
bio,PG,Nai
bip,CD,Bila
biq,PG,Bipi
bir,PG,Bisorio
bis,VU,Bislama
bit,PG,Berinomo
biu,IN,Biete
biv,GH,"Birifor, Southern"
biw,CM,Kol
bix,IN,Bijori
biy,IN,Birhor
biz,CD,Baloi
bja,CD,Budza
bjb,AU,Barngarla
bjc,PG,Bariji
bje,CN,Biao-Jiao Mien
bjf,IL,Barzani Jewish Neo-Aramaic
bjg,GW,Bidyogo
bjh,PG,Bahinemo
bji,ET,Burji
bjj,IN,Kanauji
bjk,PG,Barok
bjl,PG,Bulu
bjm,IQ,Bajelani
bjn,ID,Banjar
bjo,CF,"Banda, Mid-Southern"
bjp,PG,Fanamaket
bjr,PG,Binumarien
bjs,BB,Bajan
bjt,SN,Balanta-Ganja
bju,CM,Busuu
bjv,TD,Bedjond
bjw,CI,Bakwé
bjx,PH,"Itneg, Banao"
bjy,AU,Bayali
bjz,PG,Baruga
bka,NG,Kyak
bkc,CM,Baka
bkd,PH,Binukid
bkf,CD,Beeke
bkg,CF,Buraka
bkh,CM,Bakoko
bki,VU,Baki
bkj,CF,Pande
bkk,IN,Brokskat
bkl,ID,Berik
bkm,CM,Kom
bkn,ID,Bukitan
bko,CM,Kwa’
bkp,CD,Boko
bkq,BR,Bakairí
bkr,ID,Bakumpai
bks,PH,"Sorsoganon, Northern"
bkt,CD,Boloki
bku,PH,Buhid
bkv,NG,Bekwarra
bkw,CG,Bekwel
bkx,TL,Baikeno
bky,NG,Bokyi
bkz,ID,Bungku
bla,CA,Blackfoot
blb,SB,Bilua
blc,CA,Bella Coola
bld,ID,Bolango
ble,GW,Balanta-Kentohe
blf,ID,Buol
blg,MY,Balau
blh,LR,Kuwaa
bli,CD,Bolia
blj,ID,Bolongan
blk,MM,Pa’o
blm,SS,Beli
bln,PH,"Bikol, Southern Catanduanes"
blo,BJ,Anii
blp,SB,Blablanga
blq,PG,Baluan-Pam
blr,CN,Blang
bls,ID,Balaesang
blt,VN,Tai Dam
blv,AO,Bolo
blw,PH,Balangao
blx,PH,"Ayta, Mag-Indi"
bly,BJ,Notre
blz,ID,Balantak
bma,NG,Lame
bmb,CD,Bembe
bmc,PG,Biem
bmd,GN,Baga Manduri
bme,CF,Limassa
bmf,SL,Bom
bmg,CD,Bamwe
bmh,PG,Kein
bmi,TD,Bagirmi
bmj,NP,Bote
bmk,PG,Ghayavi
bml,CD,Bomboli
bmm,MG,"Malagasy, Northern Betsimisaraka"
bmn,PG,Bina
bmo,CM,Bambalang
bmp,PG,Bulgebi
bmq,ML,Bomu
bmr,CO,Muinane
bms,NE,"Kanuri, Bilma"
bmt,CN,Biao Mon
bmu,PG,Somba-Siawari
bmv,CM,Bum
bmw,CG,Bomwali
bmx,PG,Baimak
bmz,PG,Baramu
bna,ID,Bonerate
bnb,MY,Bookan
bnd,ID,Banda
bne,ID,Bintauna
bnf,ID,Masiwang
bng,GQ,Benga
bni,CD,Bangi
bnj,PH,"Tawbuid, Eastern"
bnk,VU,Bierebo
bnl,SO,Boon
bnm,GQ,Batanga
bnn,TW,Bunun
bno,PH,Bantoanon
bnp,PG,Bola
bnq,ID,Bantik
bnr,VU,Butmas-Tur
bns,IN,Bundeli
bnu,ID,Bentong
bnv,ID,Beneraf
bnw,PG,Bisis
bnx,CD,Bangubangu
bny,MY,Bintulu
bnz,CM,Beezen
boa,PE,Bora
bob,KE,Aweer
bod,CN,"Tibetan, Central"
boe,CM,Mundabli
bof,BF,Bolon
bog,ML,Bamako Sign Language
boh,CD,Boma
boi,US,Barbareño
boj,PG,Anjam
bok,CG,Bonjo
bol,NG,Bole
bom,NG,Berom
bon,PG,Bine
boo,ML,"Bozo, Tiemacèwè"
bop,PG,Bonkiman
boq,PG,Bogaya
bor,BR,Borôro
bos,BA,Bosnian
bot,SS,Bongo
bou,TZ,Bondei
bov,GH,Tuwuli
bow,PG,Rema
box,BF,Buamu
boy,CF,Bodo
boz,ML,"Bozo, Tieyaxo"
bpa,VU,Daakaka
bpb,CO,Barbacoas
bpd,CF,Banda-Banda
bpg,ID,Bonggo
bph,RU,Botlikh
bpi,PG,Bagupi
bpj,CD,Binji
bpk,NC,Orowe
bpl,AU,Broome Pearling Lugger Pidgin
bpm,PG,Biyom
bpn,CN,Dzao Min
bpo,ID,Anasi
bpp,ID,Kaure
bpq,ID,"Malay, Banda"
bpr,PH,"Blaan, Koronadal"
bps,PH,"Blaan, Sarangani"
bpt,AU,Barrow Point
bpu,PG,Bongu
bpv,ID,"Marind, Bian"
bpw,PG,Bo
bpx,IN,"Bareli, Palya"
bpy,IN,Bishnupriya
bpz,ID,Bilba
bqa,BJ,Tchumbuli
bqb,ID,Bagusa
bqc,BJ,Boko
bqd,CM,Bung
bqf,GN,Baga Kaloum
bqg,TG,Bago-Kusuntu
bqh,CN,Baima
bqi,IR,Bakhtiâri
bqj,SN,Bandial
bqk,CF,Banda-Mbrès
bql,PG,Bilakura
bqm,CM,Wumboko
bqn,BG,Bulgarian Sign Language
bqo,CM,Balo
bqp,NG,Busa
bqq,ID,Biritai
bqr,ID,Burusu
bqs,PG,Bosmun
bqt,CM,Bamukumbit
bqu,CD,Boguru
bqv,NG,Koro Wachi
bqw,NG,Buru
bqx,NG,Baangi
bqy,ID,Bengkala Sign Language
bqz,CM,Bakaka
bra,IN,Braj Bhasha
brb,LA,Lave
brc,GY,Berbice Creole Dutch
brd,NP,Baram
bre,FR,Breton
brf,CD,Bera
brg,BO,Baure
brh,PK,Brahui
bri,CM,Mokpwe
brj,VU,Bieria
brk,SD,Birked
brl,BW,Birwa
brm,CD,Barambu
brn,CR,Boruca
bro,BT,Brokkat
brp,ID,Barapasi
brq,PG,Breri
brr,SB,Birao
brs,ID,Baras
brt,NG,Bitare
bru,LA,"Bru, Eastern"
brv,TH,"Bru, Western"
brw,IN,Bellari
brx,IN,Bodo
bry,PG,Burui
brz,PG,Bilbil
bsa,ID,Abinomn
bsb,BN,"Bisaya, Brunei"
bsc,SN,Oniyan
bse,CM,Wushi
bsf,NG,Bauchi
bsg,IR,Bashkardi
bsh,AF,Kati
bsi,CM,Bassossi
bsj,NG,Bangwinji
bsk,PK,Burushaski
bsl,NG,Basa-Gumna
bsm,ID,Busami
bsn,CO,Barasana-Eduria
bso,TD,Buso
bsp,GN,Baga Sitemu
bsq,LR,Bassa
bsr,NG,Bassa-Kontagora
bss,CM,Akoose
bst,ET,Basketo
bsu,ID,Bahonsuai
bsv,GN,Baga Sobané
bsw,ET,Baiso
bsx,NG,Yangkam
bsy,MY,"Bisaya, Sabah"
bta,NG,Bata
btc,CM,Bati
btd,ID,Batak Dairi
bte,NG,Gamo-Ningi
btf,TD,Birgit
btg,CI,"Bété, Gagnoa"
bth,MY,"Bidayuh, Biatah"
bti,ID,Burate
btj,ID,"Malay, Bacanese"
btm,ID,Batak Mandailing
btn,PH,Ratagnon
bto,PH,"Bikol, Rinconada"
btp,PG,Budibud
btq,MY,Batek
btr,VU,Baetora
bts,ID,Batak Simalungun
btt,NG,Bete-Bendi
btu,NG,Batu
btv,PK,Bateri
btw,PH,Butuanon
btx,ID,Batak Karo
bty,ID,Bobot
btz,ID,Batak Alas-Kluet
bub,TD,Bua
buc,YT,Bushi
bud,TG,Ntcham
buf,CD,Bushoong
bug,ID,Bugis
buh,CN,"Bunu, Younuo"
bui,CG,Bongili
buj,NG,Basa-Gurmana
buk,PG,Bugawac
bul,BG,Bulgarian
bum,CM,Bulu
bun,SL,Sherbro
buo,PG,Terei
bup,ID,Busoa
buq,PG,Brem
bus,NG,Bokobaru
but,PG,Bungain
buu,CD,Budu
buv,PG,Bun
buw,GA,Bubi
bux,NG,Boghom
buy,SL,Bullom So
buz,NG,Bukwen
bva,TD,Barein
bvb,GQ,Bube
bvc,SB,Baelelea
bvd,SB,Baeggu
bve,ID,"Malay, Berau"
bvf,TD,Boor
bvg,CM,Bonkeng
bvh,NG,Bure
bvi,SS,Belanda Viri
bvj,NG,Baan
bvk,ID,Bukat
bvl,BO,Bolivian Sign Language
bvm,CM,Bamunka
bvn,PG,Buna
bvo,TD,Bolgo
bvp,CN,Bumang
bvq,CF,Birri
bvr,AU,Burarra
bvt,ID,Bati
bvu,ID,"Malay, Bukit"
bvv,VE,Baniva
bvw,NG,Boga
bvx,CG,Dibole
bvy,PH,Baybayanon
bvz,ID,Bauzi
bwa,NC,Bwatoo
bwb,FJ,Namosi-Naitasiri-Serua
bwc,ZM,Bwile
bwd,PG,Bwaidoka
bwe,MM,"Karen, Bwe"
bwf,PG,Boselewa
bwg,MZ,Barwe
bwh,CM,Bishuo
bwi,VE,Baniwa
bwj,BF,"Bwamu, Láá Láá"
bwk,PG,Bauwaki
bwl,CD,Bwela
bwm,PG,Biwat
bwn,CN,"Bunu, Wunai"
bwo,ET,Borna
bwp,ID,Mandobo Bawah
bwq,BF,"Bobo Madaré, Southern"
bwr,NG,Bura-Pabir
bws,CD,Bomboma
bwt,CM,Bafaw-Balong
bwu,GH,Buli
